Time;Position; Rotation.X; Rotation.Y;FPS; Input;
58211.3327;(-41.8600, 101.5123, -695.7500);280.7000;12.7000;29.6158;;
58211.3657;(-41.8600, 101.5123, -695.7500);280.9000;12.5000;29.6077;;
58211.3997;(-41.8600, 101.5123, -695.7500);280.9000;12.4000;29.6371;;
58211.4327;(-41.8600, 101.5123, -695.7500);280.9000;12.3000;29.6443;;
58211.4657;(-41.8600, 101.5123, -695.7500);280.9000;12.1000;29.7172;;
58211.4997;(-41.8600, 101.5123, -695.7500);280.9000;12.0000;29.7072;;
58211.5327;(-41.8600, 101.5123, -695.7500);280.9000;11.9000;29.7294;;
58211.5657;(-41.8600, 101.5123, -695.7500);280.8000;11.6000;29.7661;;
58211.5997;(-41.8600, 101.5123, -695.7500);280.8000;11.6000;29.7803;;
58211.6327;(-41.8600, 101.5123, -695.7500);280.8000;11.6000;29.8217;;
58211.6667;(-41.8600, 101.5123, -695.7500);280.8000;11.6000;29.8447;;
58211.6987;(-41.8600, 101.5123, -695.7500);280.8000;11.6000;29.8174;;
58211.7327;(-41.8600, 101.5123, -695.7500);280.8000;11.6000;29.8889;;
58211.7657;(-41.8600, 101.5123, -695.7500);280.9000;11.4000;29.8738;;
58211.7997;(-41.8600, 101.5123, -695.7500);281.8000;10.8000;29.8752;;
58211.8337;(-41.8600, 101.5123, -695.7500);283.3000;10.3000;29.8359;;
58211.8677;(-41.8600, 101.5123, -695.7500);285.4000;10.1000;29.7880;;
58211.9017;(-41.8600, 101.5123, -695.7500);288.0000;10.0000;29.7724;;
58211.9357;(-41.8600, 101.5123, -695.7500);288.9000;10.0000;29.7141;;
58211.9697;(-41.8600, 101.5123, -695.7500);289.8000;9.9000;29.7033;;
58212.0037;(-41.8600, 101.5123, -695.7500);290.6000;9.9000;29.7003;;
58212.0357;(-41.8600, 101.5123, -695.7500);290.8000;9.9000;29.6964;;
58212.0697;(-41.8600, 101.5123, -695.7500);290.8000;9.9000;29.8008;;
58212.1027;(-41.8600, 101.5123, -695.7500);290.8000;9.9000;29.7739;;
58212.1357;(-41.8600, 101.5123, -695.7500);290.9000;9.8000;29.8393;;
58212.1687;(-41.8600, 101.5123, -695.7500);291.0000;9.8000;29.8244;;
58212.2027;(-41.8600, 101.5123, -695.7500);291.0000;9.8000;29.8939;;
58212.2367;(-41.8600, 101.5123, -695.7500);291.6000;9.8000;29.8600;;
58212.2717;(-41.8600, 101.5123, -695.7500);295.0000;10.3000;29.7993;;
58212.3057;(-41.8600, 101.5123, -695.7500);298.3000;10.7000;29.6937;;
58212.3447;(-41.8600, 101.5123, -695.7500);300.7000;11.0000;29.6825;;
58212.3898;(-41.8600, 101.5123, -695.7500);302.5000;11.4000;29.2149;;
58212.4278;(-41.8600, 101.5123, -695.7500);304.7000;11.8000;28.2997;;
58212.4728;(-41.8600, 101.5123, -695.7500);305.4000;11.8000;28.1260;;
58212.5118;(-41.8600, 101.5123, -695.7500);306.6000;11.9000;27.3473;;
58212.5588;(-41.8600, 101.5123, -695.7500);307.4000;12.0000;27.1583;;
58212.6068;(-41.8600, 101.5123, -695.7500);308.1000;12.1000;26.4903;;
58212.6488;(-41.8600, 101.5123, -695.7500);309.9000;12.5000;25.7645;;
58212.6948;(-41.8600, 101.5123, -695.7500);311.6000;12.9000;25.5595;;
58212.7428;(-41.8600, 101.5123, -695.7500);313.8000;13.4000;25.1326;;
58212.7918;(-41.8600, 101.5123, -695.7500);314.0000;13.4000;24.6191;;
58212.8438;(-41.8600, 101.5123, -695.7500);314.2000;13.4000;24.0941;;
58212.9168;(-41.8600, 101.5123, -695.7500);314.9000;13.4000;23.5012;;
58212.9708;(-41.8600, 101.5123, -695.7500);316.8000;13.4000;21.9495;;
58213.0218;(-41.8600, 101.5123, -695.7500);318.7000;13.3000;21.5616;;
58213.0758;(-41.8600, 101.5123, -695.7500);324.4000;13.2000;21.3216;;
58213.1288;(-41.8600, 101.5123, -695.7500);330.9000;13.3000;21.0007;;
58213.1848;(-41.8600, 101.5123, -695.7500);334.2000;13.5000;20.7842;;
58213.2748;(-41.8600, 101.5123, -695.7500);334.5000;13.5000;20.4360;;
58213.3378;(-41.8600, 101.5123, -695.7500);340.7000;15.0000;18.8380;;
58213.3958;(-41.8600, 101.5123, -695.7500);345.9000;16.0000;18.5165;;
58213.4538;(-41.8600, 101.5123, -695.7500);353.0000;16.9000;18.3666;;
58213.5108;(-41.8600, 101.5123, -695.7500);359.4000;18.0000;18.2592;;
58213.5648;(-41.8600, 101.5123, -695.7500);4.2000;18.9000;18.1945;;
58213.6268;(-41.8600, 101.5123, -695.7500);13.3000;20.5000;18.2280;;
58213.6888;(-41.8600, 101.5123, -695.7500);14.7000;20.4000;17.9804;;
58213.7518;(-41.8600, 101.5123, -695.7500);14.8000;20.4000;17.7767;;
58213.8058;(-41.8600, 101.5123, -695.7500);18.1000;20.2000;17.5666;;
58213.8638;(-41.8600, 101.5123, -695.7500);23.2000;19.8000;17.6554;;
58213.9268;(-41.8600, 101.5123, -695.7500);30.2000;19.0000;17.6189;;
58213.9978;(-41.8600, 101.5123, -695.7500);42.9000;18.7000;17.4145;;
